farm_id,country,n_turbines,capacity_kw,centroid_lat,centroid_lon,has_location,has_ecological_overlap,has_direction,has_layout_aep,has_validation,readiness_level,blocker
82,China,58,580000,33.3213,121.5926,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
83,United Kingdom,58,580000,54.7534,-3.713,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
84,United Kingdom,57,570000,53.4864,-3.2425,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
85,China,56,560000,28.9259,121.9986,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
86,Vietnam,56,560000,8.9219,105.3984,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
87,United Kingdom,56,560000,51.7743,1.9848,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
88,China,55,550000,34.5028,120.0532,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
89,China,55,550000,30.9301,122.1242,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
90,China,55,550000,22.7327,116.1203,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
91,China,55,550000,21.901,113.4405,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
92,China,54,540000,30.4497,121.896,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
93,United Kingdom,51,510000,56.2642,-2.2434,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
94,China,50,500000,37.2621,119.4511,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
95,Sweden,50,500000,54.8305,13.8582,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
96,United Kingdom,50,500000,51.7298,1.2299,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
97,China,49,490000,22.12,113.7329,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
98,China,48,480000,34.6039,119.7916,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
99,Sweden,48,480000,55.5128,12.7808,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
100,Netherlands,48,480000,52.747,5.5908,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
101,China,47,470000,25.5817,119.6054,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
102,United Kingdom,45,450000,51.458,1.0879,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
103,China,41,410000,29.0656,122.0286,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
104,China,40,400000,30.3864,121.6844,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
105,China,40,400000,28.8353,121.8575,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
106,China,39,390000,38.0237,119.2633,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
107,Vietnam,39,390000,9.0822,105.5854,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
108,China,38,380000,37.2428,119.6233,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
109,China,38,380000,32.3706,121.6844,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
110,China,38,380000,29.531,122.0568,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
111,China,36,360000,22.6779,115.9363,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
112,Vietnam,36,360000,9.6266,106.579,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
113,Netherlands,36,360000,52.607,4.4203,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
114,China,35,350000,37.9135,121.8844,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
115,Vietnam,35,350000,9.9279,106.6985,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
116,United Kingdom,35,350000,53.8058,0.1494,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
117,United States of America,33,330000,41.0531,-70.4351,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
118,China,32,320000,30.7438,121.7988,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
119,China,32,320000,28.1833,121.5002,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
120,China,32,320000,20.7161,110.5573,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
121,Germany,30,300000,53.6928,6.4755,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
122,United Kingdom,30,300000,52.6458,1.7875,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
123,United Kingdom,30,300000,53.9928,-3.2982,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
124,China,29,290000,25.2975,119.3727,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
125,China,28,280000,23.9216,118.2136,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
126,Vietnam,28,280000,9.5244,106.456,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
127,Sweden,27,270000,54.8185,13.657,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
128,United Kingdom,27,270000,54.6456,-1.0941,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
129,United Kingdom,27,270000,54.7288,1.7951,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
130,Vietnam,26,260000,9.1406,105.7125,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
131,China,25,250000,34.4035,120.1958,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
132,China,24,240000,38.6684,118.0399,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
133,Vietnam,24,240000,8.6706,105.1538,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
134,Netherlands,24,240000,52.6039,5.5748,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
135,Japan,23,230000,40.2006,139.9778,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
136,Denmark,21,210000,56.5932,8.0257,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
137,Germany,21,210000,54.6098,12.6507,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
138,United States of America,20,200000,41.1238,-70.9609,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
139,South Korea,20,200000,35.4818,126.3176,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
140,Denmark,20,200000,56.0791,7.9536,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
141,Vietnam,18,180000,9.7455,106.585,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
142,Germany,18,180000,53.8357,8.1683,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
143,Vietnam,16,160000,8.5498,104.9308,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
144,Sweden,16,160000,56.9863,17.0187,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
145,Japan,14,140000,43.2114,141.2564,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
146,United States of America,12,120000,41.093,-71.1478,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
147,China,12,120000,38.6666,117.6375,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
148,Finland,11,110000,61.6279,21.3546,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
149,Sweden,11,110000,55.6945,12.6698,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
150,United Kingdom,11,110000,57.2233,-1.9953,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
151,South Korea,10,100000,34.9712,125.9495,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
152,Denmark,10,100000,56.6648,8.2313,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
153,Denmark,10,100000,55.9692,10.3553,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
154,Denmark,10,100000,55.7218,10.5833,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
155,Italy,9,90000,40.4919,17.1398,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
156,United States of America,8,80000,41.1929,-71.1658,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
157,Denmark,7,70000,55.3441,10.9604,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
158,Ireland,7,70000,52.7915,-5.9468,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
159,Vietnam,7,70000,9.2966,106.1245,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
160,United States of America,5,50000,41.1157,-71.5218,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
161,United Kingdom,5,50000,57.0045,-1.8649,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
162,United Kingdom,5,50000,55.1313,-1.4019,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
163,Sweden,5,50000,57.0371,18.1467,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
164,United Kingdom,5,50000,57.4875,-1.3561,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
165,China,4,40000,38.0457,118.4427,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
166,Japan,4,40000,39.7726,140.0107,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
167,France,3,30000,43.1903,4.794,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
168,China,3,30000,38.6193,117.5806,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
169,China,3,30000,34.4617,119.888,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
170,Portugal,3,30000,41.6868,-9.0573,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
